key_words,key_values
toast crave,1.0
cinnamon sugar,0.41
mitigate toast,0.41
nutella mitigate,0.41
slathered nutella,0.41
sugar slathered,0.41
toast cravings,0.41
best coffee,0.71
coffee neighborhood,0.71
best parklet,0.26
composed huge,0.26
expect find,0.26
find seat,0.26
head best,0.26
huge twisted,0.26
inside not,0.26
instead head,0.26
not expect,0.26
parklet town,0.26
seat instead,0.26
super tiny,0.26
tiny inside,0.26
town composed,0.26
twisted log,0.26
brunch outerlands,0.32
great place,0.32
hours long,0.32
long wait,0.32
next door,0.32
outerlands next,0.32
place seek,0.32
refuge hours,0.32
seek refuge,0.32
wait brunch,0.32
beans new,0.3
chooses roasts,0.3
new facility,0.3
outer sunset,0.3
own beans,0.3
perfect cup,0.3
roasts own,0.3
shop chooses,0.3
small outer,0.3
street perfect,0.3
sunset shop,0.3
brown sugar,0.32
cafe offers,0.32
offers housemade,0.32
over ice,0.32
pastries free,0.32
pellegrino espresso,0.32
plover cold,0.32
snowy plover,0.32
sugar syrup,0.32
syrup over,0.32
andersontown belfast,0.23
another location,0.23
authentic soda,0.23
belfast ireland,0.23
breads expanded,0.23
cafes authentic,0.23
lauren crabbe,0.23
location taraval,0.23
mccrory named,0.23
mccrorys native,0.23
michael mccrory,0.23
named shop,0.23
native andersontown,0.23
owners lauren,0.23
serve growing,0.23
shop mccrorys,0.23
soda breads,0.23
street serve,0.23
taraval street,0.23
area piano,0.22
books patrons,0.22
cafe standard,0.22
coffee shop,0.22
free wifi,0.22
garden house,0.22
house cafe,0.22
lies garden,0.22
lovely outside,0.22
outer richmond,0.22
outside seating,0.22
patrons perusal,0.22
piano free,0.22
reaches outer,0.22
richmond lies,0.22
seating area,0.22
shelves books,0.22
shop lovely,0.22
standard coffee,0.22
wifi shelves,0.22
beach legion,0.32
filled regulars,0.32
great place,0.32
honor quick,0.32
legion honor,0.32
place stop,0.32
quick bite,0.32
regulars great,0.32
stop way,0.32
way beach,0.32
choose sandiches,0.45
light lunch,0.45
lunch fare,0.45
salads light,0.45
sandiches salads,0.45
cash only,0.71
warning cash,0.71
drinks featuring,0.28
espresso drinks,0.28
eugene kim,0.28
featuring houseroasted,0.28
filmmaker eugene,0.28
former filmmaker,0.28
houseroasted beans,0.28
kim snowbird,0.28
offers pour,0.28
opened former,0.28
overs espresso,0.28
pour overs,0.28
snowbird offers,0.28
like wisconsins,0.38
national roasters,0.38
roasters like,0.38
rotating selection,0.38
ruby coffee,0.38
selection national,0.38
wisconsins ruby,0.38
added own,0.32
bottled cold,0.32
brew coldbrew,0.32
cold brew,0.32
coldbrew concentrate,0.32
concentrate hardcore,0.32
hardcore caffeinehounds,0.32
line bottled,0.32
own line,0.32
recently added,0.32
cafe chain,0.29
cafe flywheel,0.29
chain martha,0.29
flywheel grew,0.29
grew olderschool,0.29
haightashburys new,0.29
martha bros,0.23
new school,0.29
olderschool sf,0.29
roaster cafe,0.29
school roaster,0.29
sf cafe,0.29
aquiles guerrero,0.32
behind martha,0.32
born nicaragua,0.32
coffee founder,0.32
family behind,0.32
founder aquiles,0.32
guerrero born,0.32
martha bros,0.25
member family,0.32
nicaragua member,0.32
coffee company,0.41
company founding,0.41
founding own,0.41
own roaster,0.41
sfounded coffee,0.41
worked sfounded,0.41
been been,0.32
been roasting,0.32
cup coffee,0.32
guerrero been,0.32
old still,0.32
perfect cup,0.32
roasting since,0.32
since years,0.32
still perfect,0.32
years old,0.32
boba tea,0.28
coffee ritual,0.28
early gray,0.28
fiftyfifty offers,0.28
gray boba,0.28
lattes like,0.28
lavender early,0.28
like lavender,0.28
modern fiftyfifty,0.28
offers coffee,0.28
ritual tea,0.28
small modern,0.28
tea lattes,0.28
available well,0.58
free wifi,0.58
wifi available,0.58
donut special,0.41
dynamo donut,0.41
saturdays stop,0.41
special weekend,0.41
stop dynamo,0.41
weekend treat,0.41
being castro,0.24
bright new,0.24
buena vista,0.24
castro most,0.24
haight overlooking,0.24
latest location,0.24
location being,0.24
locations sf,0.24
most scenic,0.24
new space,0.24
overlooking buena,0.24
ritual six,0.24
scenic bright,0.24
sf latest,0.24
six locations,0.24
space haight,0.24
vista park,0.24
artisan breads,0.23
batch brew,0.23
batter bakery,0.23
breads batter,0.23
breads quick,0.23
brew cold,0.23
brew pourovers,0.23
cold brew,0.23
drinks four,0.23
espresso drinks,0.23
firebrand artisan,0.23
four locations,0.23
locations plus,0.23
offers selection,0.23
pastries firebrand,0.23
plus pastries,0.23
pourovers espresso,0.23
quick breads,0.23
selection batch,0.23
bakers excellent,0.28
barrelfueled outpost,0.28
bounty josey,0.28
bread divisadero,0.28
coffee shop,0.28
divisadero coffee,0.28
excellent bread,0.28
four barrelfueled,0.28
highlights bounty,0.28
josey bakers,0.28
lightfilled oasis,0.28
outpost highlights,0.28
shop lightfilled,0.28
arrangements choose,0.32
communal table,0.32
inside several,0.32
large communal,0.32
outside large,0.32
parklet outside,0.32
roomy parklet,0.32
seating arrangements,0.32
several seating,0.32
table inside,0.32
array hearty,0.26
bread road,0.26
espresso pour,0.26
grab loaf,0.26
hearty toppings,0.26
jam array,0.26
loaf bread,0.26
order thick,0.26
over tea,0.26
pour over,0.26
slathered jam,0.26
tea grab,0.26
thick toast,0.26
toast slathered,0.26
toppings espresso,0.26
awardwinning coffee,0.28
cho trish,0.28
coffee fullservice,0.28
fullservice shop,0.28
nick cho,0.28
offering awardwinning,0.28
operating popup,0.28
partners nick,0.28
popup several,0.28
rothgeb offering,0.28
several years,0.28
shop operating,0.28
trish rothgeb,0.28
advanced pourovers,0.28
coffee shop,0.28
disappoint offering,0.28
espresso drinks,0.28
not disappoint,0.28
offering precise,0.28
originators term,0.28
pourovers espresso,0.28
precise technologically,0.28
shop not,0.28
technologically advanced,0.28
term thirdwave,0.28
thirdwave coffee,0.28
baked goods,0.5
bakery provides,0.5
marla bakery,0.5
provides baked,0.5
club not,0.5
lady falcon,0.5
not coffee,0.5
shop exactly,0.5
beautiful mobile,0.29
bread truck,0.29
citys most,0.29
into citys,0.29
into picturesque,0.29
mobile coffee,0.29
modified into,0.29
most beautiful,0.29
operation transforming,0.29
picturesque cafe,0.29
roving gmc,0.29
transforming every,0.29
alamo square,0.71
parked alamo,0.71
called pink,0.29
cascara steeped,0.29
cherry skins,0.29
coffee cherry,0.29
coffee drink,0.29
mochas homemade,0.29
pink crush,0.29
serving mochas,0.29
signature coffee,0.29
skins cascara,0.29
steeped hibiscus,0.29
sunday serving,0.29
beans sale,0.32
buffy maguires,0.32
maguires beans,0.32
ownerroaster buffy,0.32
pinkhued bags,0.32
retail shelves,0.32
sale where,0.32
shelves thanks,0.32
stand retail,0.32
thanks pinkhued,0.32
coffee russian,0.38
focus coffee,0.38
hill spot,0.38
interior leaves,0.38
leaves focus,0.38
minimal interior,0.38
russian hill,0.38
coffee sourced,0.27
drinks coffee,0.27
espresso drinks,0.27
food items,0.27
gives way,0.27
independent producers,0.27
items gives,0.27
limited selection,0.27
overs espresso,0.27
pour overs,0.27
selection food,0.27
sourced independent,0.27
way wellmade,0.27
wellmade pour,0.27
ceramics cups,0.25
coffee shop,0.25
corner coffee,0.25
cups pleasant,0.25
cute tiny,0.25
due proprietary,0.25
heath ceramics,0.25
linea stands,0.25
mission linea,0.25
outdoor seating,0.25
pleasant outdoor,0.25
proprietary roast,0.25
roast heath,0.25
shop mission,0.25
stands due,0.25
tiny corner,0.25
cup sidewalk,0.41
quick cup,0.41
sidewalk take,0.41
stop quick,0.41
take way,0.41
way bart,0.41
artist brett,0.3
barista artist,0.3
barrel barista,0.3
bohemian tenderloin,0.3
brett walker,0.3
former four,0.3
four barrel,0.3
george lennie,0.3
lennie bohemian,0.3
tenderloin hangout,0.3
walker george,0.3
among earthly,0.28
array vessels,0.28
earthly delights,0.28
eclectic array,0.28
espresso served,0.28
experience includes,0.28
green walls,0.28
includes espresso,0.28
lime green,0.28
served eclectic,0.28
start experience,0.28
vessels among,0.28
walls start,0.28
aplenty come,0.41
art artists,0.41
artists aplenty,0.41
come open,0.41
mind caffeine,0.41
open mind,0.41
beer wine,0.27
coffee cultures,0.27
coffee soft,0.27
counter culture,0.27
culture coffee,0.27
cultures open,0.27
location coffee,0.27
newest location,0.27
offering counter,0.27
open soma,0.27
pastries beer,0.27
serve pastries,0.27
soft serve,0.27
soma offering,0.27
chain giving,0.29
expand menu,0.29
fidi location,0.29
giving team,0.29
growing chain,0.29
largest location,0.29
location growing,0.29
menu original,0.29
more opportunity,0.29
opportunity expand,0.29
original fidi,0.29
team more,0.29
adding north,0.28
beachs old,0.28
beacon coffee,0.28
coffee serves,0.28
espresso scene,0.28
generation dreamers,0.28
new generation,0.28
north beachs,0.28
old school,0.28
scene beacon,0.28
school espresso,0.28
serves sightglass,0.28
sightglass new,0.28
boasts subway,0.29
dry goods,0.29
interior boasts,0.29
living wall,0.29
pantry stocked,0.29
small pantry,0.29
spare interior,0.29
specialty dry,0.29
stocked specialty,0.29
subway tiles,0.29
tiles living,0.29
wall small,0.29
feel glad,0.3
glad know,0.3
grab seat,0.3
large windows,0.3
seat large,0.3
stream way,0.3
tourists stream,0.3
watch tourists,0.3
way wharf,0.3
wharf feel,0.3
windows watch,0.3
ahmed firstgeneration,0.24
coffee shop,0.24
colombian growers,0.24
directly ethiopian,0.24
ethiopian kenyan,0.24
ethiopian working,0.24
firstgeneration ethiopian,0.24
founded project,0.24
founder kinani,0.24
kenyan colombian,0.24
kinani ahmed,0.24
project founder,0.24
roasters coffee,0.24
sextant founded,0.24
shop sextant,0.24
soma roasters,0.24
working directly,0.24
back patio,0.27
brick high,0.27
ceilings charming,0.27
charming back,0.27
exposed brick,0.27
high ceilings,0.27
linger stop,0.27
nice linger,0.27
patio place,0.27
place nice,0.27
route office,0.27
setting exposed,0.27
sextants setting,0.27
stop route,0.27
always destination,0.23
ante when,0.23
aptly named,0.23
caffeination excellent,0.23
coffee collaboration,0.23
coffee manufactory,0.23
coincide opening,0.23
collaboration coincide,0.23
destination morning,0.23
excellent pastries,0.23
launched coffee,0.23
manufactory aptly,0.23
morning caffeination,0.23
named coffee,0.23
opening tartine,0.23
pastries tartine,0.23
tartine manufactory,0.23
tartine upped,0.23
upped ante,0.23
beans roasted,0.28
bright pleasant,0.28
cup drip,0.28
dining room,0.28
directly farmers,0.28
espresso drink,0.28
into bright,0.28
oakland sourced,0.28
pleasant dining,0.28
roasted oakland,0.28
room cup,0.28
sourced directly,0.28
stop into,0.28
accompany first,0.35
baking accompany,0.35
bread baking,0.35
breakfast smell,0.35
first cup,0.35
hot breakfast,0.35
smell bread,0.35
theres wifi,0.35
addition equators,0.35
continued improve,0.35
equators first,0.35
first sf,0.35
improve options,0.35
midmarket continued,0.35
options addition,0.35
sf location,0.35
along beer,0.27
beer wine,0.27
brew along,0.27
coffee espresso,0.27
cold brew,0.27
drinks single,0.27
drip coffee,0.27
espresso drinks,0.27
offer drip,0.27
origin pourovers,0.27
pourovers teas,0.27
single origin,0.27
teas cold,0.27
wine tap,0.27
food including,0.33
grain salads,0.33
including togo,0.33
items like,0.33
like grain,0.33
salads sweet,0.33
savory toasts,0.33
sweet savory,0.33
togo items,0.33
coffee shops,0.32
corner victorian,0.32
five coffee,0.32
latest stunningly,0.32
name latest,0.32
shops name,0.32
sightglass five,0.32
stunningly updated,0.32
updated corner,0.32
victorian divisadero,0.32
beautiful roastery,0.28
big beautiful,0.28
centerpiece pour,0.28
cold brews,0.28
drinks cold,0.28
espresso drinks,0.28
flagship location,0.28
location big,0.28
overs espresso,0.28
pour overs,0.28
remains flagship,0.28
roastery centerpiece,0.28
soma remains,0.28
affogato bar,0.28
ample seating,0.28
bar serving,0.28
cream mezzanine,0.28
ice cream,0.28
often packed,0.28
packed affogato,0.28
portlands salt,0.28
salt straw,0.28
seating though,0.28
serving portlands,0.28
straw ice,0.28
though often,0.28
around over,0.3
beach location,0.3
been around,0.3
caffe trieste,0.3
espresso masses,0.3
location caffe,0.3
north beach,0.3
over years,0.3
serving espresso,0.3
trieste been,0.3
years serving,0.3
art poetry,0.3
crowd neighborhood,0.3
discussing art,0.3
found discussing,0.3
host crowd,0.3
more sidewalk,0.3
music more,0.3
neighborhood regulars,0.3
poetry music,0.3
regulars found,0.3
sidewalk outside,0.3
bonus institution,0.35
day night,0.35
institution where,0.35
live music,0.35
music bonus,0.35
performers seen,0.35
seen day,0.35
where performers,0.35
addition fidi,0.28
baked goods,0.28
barrel coffee,0.28
bitsy addition,0.28
brings four,0.28
coffee baked,0.28
coffee scene,0.28
fidi coffee,0.28
four barrel,0.28
goods neighbor,0.28
itsy bitsy,0.28
neighbor bakehouse,0.28
scene brings,0.28
attraction spirit,0.38
drinks main,0.38
espresso drinks,0.38
keeping things,0.38
main attraction,0.38
spirit keeping,0.38
things simple,0.38
enjoy neighborhood,0.38
feel hang,0.38
hang enjoy,0.38
neighborhood vibe,0.38
only feel,0.38
room only,0.38
standing room,0.38
basis offering,0.22
coffee highly,0.22
coffee shop,0.22
cold brew,0.22
curated coffee,0.22
drinks nitro,0.22
espresso drinks,0.22
former techie,0.22
hamid rafati,0.22
highly curated,0.22
mazarine coffee,0.22
nitro cold,0.22
offering pourovers,0.22
pourovers espresso,0.22
rafati rotates,0.22
regular basis,0.22
roasters regular,0.22
rotates variety,0.22
shop former,0.22
techie hamid,0.22
variety roasters,0.22
bakery pastries,0.28
caf friendly,0.28
folks offers,0.28
friendly laptopwielding,0.28
laptopwielding folks,0.28
light sandwiches,0.28
morning light,0.28
offers starter,0.28
pastries morning,0.28
salads lunch,0.28
sandwiches salads,0.28
starter bakery,0.28
wifiequipped caf,0.28
beer wine,1.0
affair marble,0.33
blue bottle,0.33
bottle sansome,0.33
glorious highceilinged,0.33
highceilinged affair,0.33
marble white,0.33
sansome glorious,0.33
tiling galore,0.33
white tiling,0.33
coffee not,0.29
drink new,0.29
espresso drink,0.29
forget liege,0.29
iced coffee,0.29
liege waffle,0.29
new orleans,0.29
not forget,0.29
orleans iced,0.29
over espresso,0.29
pour over,0.29
snag pour,0.29
always line,0.45
hightraffic location,0.45
line hightraffic,0.45
location moves,0.45
moves quickly,0.45
latte pour,0.41
order latte,0.41
overs take,0.41
pour overs,0.41
rush order,0.41
take time,0.41
across hall,0.45
cocktails across,0.45
downer upper,0.45
hall treasury,0.45
upper cocktails,0.45
bay area,0.33
chain started,0.33
coffee chain,0.33
exploded rapidly,0.33
locations bay,0.33
mission exploded,0.33
multiplying locations,0.33
rapidly multiplying,0.33
started mission,0.33
baristas guarantee,0.32
coffee espresso,0.32
cup pour,0.32
espresso machines,0.32
friendly baristas,0.32
guarantee perfect,0.32
machines friendly,0.32
over coffee,0.32
pour over,0.32
stop cup,0.32
bagels pastries,0.38
breakfast sandwiches,0.38
food items,0.38
items available,0.38
light food,0.38
pastries breakfast,0.38
sandwiches light,0.38
addicted creamy,0.35
chain many,0.35
creamy mint,0.35
devotees local,0.35
local chain,0.35
many addicted,0.35
many devotees,0.35
mint mojito,0.35
anchor hope,0.25
caffe greco,0.25
capra focused,0.25
focused espresso,0.25
greco la,0.25
hall anchor,0.25
hanna suleiman,0.25
house partner,0.25
la capra,0.25
mitchell steve,0.25
partner hanna,0.25
rosenthal town,0.25
salt house,0.25
steve rosenthal,0.25
suleiman caffe,0.25
town hall,0.25
alongside drip,0.28
attraction rosenthal,0.28
blend italianinspired,0.28
brothers blend,0.28
coffee rotating,0.28
drip coffee,0.28
espresso alongside,0.28
italianinspired espresso,0.28
main attraction,0.28
rosenthal brothers,0.28
rotating selection,0.28
selection singleorigin,0.28
singleorigin pourovers,0.28
bakehouse starter,0.3
bakery sandwiches,0.3
fancy toppings,0.3
neighbor bakehouse,0.3
pastries neighbor,0.3
salads lunch,0.3
sandwiches salads,0.3
serve toast,0.3
starter bakery,0.3
toast variety,0.3
toppings pastries,0.3
austin tony,0.27
brothers austin,0.27
cute tiny,0.27
espressofueled labor,0.27
ferrari hillside,0.27
hillside supper,0.27
italian brothers,0.27
labor love,0.27
love italian,0.27
provender espressofueled,0.27
squarefeet provender,0.27
supper club,0.27
tiny squarefeet,0.27
tony ferrari,0.27
including grain,0.35
lunch togo,0.35
meat sandwich,0.35
pastries lunch,0.35
salad meat,0.35
sandwich veggie,0.35
teas pastries,0.35
togo including,0.35
brew coffee,0.24
coffee strained,0.24
cold brew,0.24
dash pure,0.24
extract smokey,0.24
ice milk,0.24
maple extract,0.24
maple syrup,0.24
maplewood cold,0.24
milk maple,0.24
over ice,0.24
poured over,0.24
pure maple,0.24
smokey sweet,0.24
strained poured,0.24
sweet flavor,0.24
syrup dash,0.24
try maplewood,0.24
boardgames coffee,0.33
collection boardgames,0.33
friend game,0.33
game one,0.33
old friend,0.33
one shops,0.33
shops collection,0.33
stop visit,0.33
visit old,0.33
breakfast spot,0.3
down street,0.3
great place,0.3
linedrawing breakfast,0.3
next plow,0.3
pass time,0.3
place pass,0.3
plow linedrawing,0.3
right next,0.3
spot down,0.3
street great,0.3
allow guests,0.3
coffee shop,0.3
door eat,0.3
grab sandwich,0.3
guests grab,0.3
hazels next,0.3
next door,0.3
sandwich hazels,0.3
shop snacks,0.3
snacks allow,0.3
typical coffee,0.3
ideal nice,0.45
nice sf,0.45
outdoor seating,0.45
seating ideal,0.45
sf day,0.45
beach castro,0.3
brothers tommy,0.3
castro truck,0.3
chris newbury,0.3
joining locations,0.3
locations north,0.3
newbury joining,0.3
north beach,0.3
rveille brothers,0.3
tommy chris,0.3
truck jackson,0.3
bay quite,0.27
breakfast lunch,0.27
brunch even,0.27
caf breakfast,0.27
coffee espresso,0.27
dinner brunch,0.27
espresso plus,0.27
even wine,0.27
luckily mission,0.27
lunch dinner,0.27
mission bay,0.27
offerings coffee,0.27
plus caf,0.27
quite expanded,0.27
alongside rveilles,0.26
bakehouse provides,0.26
blend single,0.26
coffees roasted,0.26
espresso blend,0.26
neighbor bakehouse,0.26
neighboring neighbor,0.26
origin coffees,0.26
own paradise,0.26
paradise espresso,0.26
pastries alongside,0.26
provides pastries,0.26
roasted site,0.26
rveilles own,0.26
single origin,0.26
